Род фабрик и заводов,Город Красноярск - Число фабрик,Город Красноярск - Сумма производства (руб.),Город Красноярск - Число рабочих,Округ Красноярский - Число фабрик,Округ Красноярский - Сумма производства (руб.),Округ Красноярский - Число рабочих,Город Енисейск - Число фабрик,Город Енисейск - Сумма производства (руб.),Город Енисейск - Число рабочих,Округ Енисейский - Число фабрик,Округ Енисейский - Сумма производства (руб.),Округ Енисейский - Число рабочих,Город Канск - Число фабрик,Город Канск - Сумма производства (руб.),Город Канск - Число рабочих
I. Заводы и фабрики обделывающие животные продукты,,,,,,,,,,,,,,,
Салотопенные,2,4500,6,—,—,—,2,5400,6,—,—,—,1,300,*
Мыловаренные,1,300,2,—,—,—,—,—,—,—,—,—,1,100,*
Кожевенные,8,19000,24,1,111,1,4,3300,10,—,—,—,1,600,*
Воскобелильные,1,12640,2,—,—,—,1,12300,4,—,—,—,—,—,*
II. Обделывающие растительные продукты,,,,,,,,,,,,,,,
Бумажные,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,*
Стеклоделательные,—,—,—,1,2000,27,—,—,—,—,—,—,—,—,*
Маслобойные,1,750,2,2,425,2,—,—,—,—,—,—,—,—,*
Канатные,1,1000,2,—,—,—,4,2500,8,—,—,—,—,—,*
Винокуренные,3,96964,9,—,—,—,1,2000,1,1,69322,18,—,—,*
Пивоваренные,1,2500,2,—,—,—,—,—,—,—,—,—,—,—,*
III. Обделывающие ископаемые продукты,,,,,,,,,,,,,,,
Железно-делательные и чугунно-литейные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*
Кирпичные,7,4620,24,2,280,2,3,6100,24,—,—,—,—,—,*
Гончарные,3,300,3,2,770,6,—,—,—,—,—,—,—,—,*
Солеваренные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*
IV. Смешанных производств,,,,,,,,,,,,,,,
Папиросные,7,19800,21,—,—,—,2,3000,7,—,—,—,—,—,*
Экипажные,5,10700,35,—,—,—,1,1500,8,—,—,—,—,—,*
Итого,40,173074,132,9,3586,38,18,36100,68,1,69322,18,3,10000,*