id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Приказа общественного призрения;#org_prikaz_public_welfare;4;Организации;Общ. орг-ии
orgName;что казенная палата;#org_что_казенная_палата;2;Организации;Гос. Органы
orgName;Министерства внутренних дел;#org_ministry_internal;2;Организации;Гос. Органы
orgName;Главное управление;#org_главное_управление;1;Организации;Гос. Органы
orgName;чем ассигнуется на все волостное правление;#org_чем_ассигнуется_на_все_волостное_правление;1;Организации;Гос. Органы
orgName;Троицкого солеваренного завода;#org_troitsk_salt_works;1;Организации;Пром-ть
orgName;Об учреждении сих последних врачебная управа;#org_об_учреждении_сих_последних_врачебная_управа;1;Организации;Общ. орг-ии
orgName;Мужская классическая гимназия;#org_мужская_классическая_гимназия;1;Организации;Образование
orgName;Приказ общественного призрения;;1;Организации;Общ. орг-ии
orgName;Троицкий солеваренный завод;;1;Организации;Пром-ть
orgName;Министерство внутренних дел;;1;Организации;Гос. Органы
orgName;Главное управление;;1;Организации;Гос. Органы
orgName;что казенная палата;;1;Организации;Гос. Органы
orgName;чем ассигнуется на все волостное правление;;1;Организации;Гос. Органы
orgName;Об учреждении сих последних врачебная управа;;1;Организации;Общ. орг-ии
orgName;Мужская классическая гимназия;;1;Организации;Образование
persName;Лохвицкий;#person_лохвицкий;15;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Ивановский;#person_ивановский;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Тархова;#person_тархова;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Елизарьев;#person_елизарьев;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Лохвицкий;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Ивановский;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Тархова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Елизарьев;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
placeName;Енисейской губернии;#place_enisei_province;16;Места;Адм. единицы
placeName;Енисейский;#place_enisei_okrug;14;Места;Насел. пункты
placeName;Минусинске;#place_minusinsk;12;Места;Насел. пункты
placeName;Красноярской;#place_krasnoyarsk;10;Места;Насел. пункты
placeName;г. Красноярске;#place_krasnoyarsk;9;Места;Насел. пункты
placeName;Ачинске;#place_achinsk;9;Места;Насел. пункты
placeName;Красноярске;#place_krasnoyarsk;9;Места;Насел. пункты
placeName;Енисейского округа;#place_enisei_okrug;8;Места;Адм. единицы
placeName;Енисейского;#place_enisei_okrug;8;Места;Насел. пункты
placeName;Канске;#place_kansk;8;Места;Насел. пункты
placeName;Енисейской;#place_enisei_okrug;7;Места;Насел. пункты
placeName;Ачинского округа;#place_achinsk_okrug;7;Места;Адм. единицы
placeName;Восточной Сибири;#place_eastern_siberia;6;Места;Насел. пункты
placeName;г. Енисейске;#place_eniseysk;6;Места;Насел. пункты
placeName;Минусинского;#place_minusinsk;5;Места;Насел. пункты
placeName;Канского;#place_kansk;5;Места;Насел. пункты
placeName;Канском;#place_kansk;5;Места;Насел. пункты
placeName;Енисейском;#place_enisei_okrug;5;Места;Насел. пункты
placeName;Минусинского округа;#place_minusinsk_okrug;5;Места;Адм. единицы
placeName;Енисейске;#place_enisei_okrug;5;Места;Насел. пункты
placeName;Минусинском;#place_minusinsk;4;Места;Насел. пункты
placeName;Ачинском;#place_achinsk;3;Места;Насел. пункты
placeName;Красноярского;#place_krasnoyarsk;3;Места;Насел. пункты
placeName;Красноярский;#place_krasnoyarsk;3;Места;Насел. пункты
placeName;Кежемской;#place_кежемской;3;Места;Насел. пункты
placeName;г. Красноярск;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;р. Енисей;#place_enisey_river;2;Места;Географические точки
placeName;Красноярском;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Красноярскому;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Енисейскому;#place_enisei_okrug;2;Места;Насел. пункты
placeName;Канскому;#place_kansk;2;Места;Насел. пункты
placeName;Минусинскому;#place_minusinsk;2;Места;Насел. пункты
placeName;Ачинскому;#place_achinsk;2;Места;Насел. пункты
placeName;Туруханского края;#place_turukhansk_region;2;Места;Насел. пункты
placeName;Минусинском округе;#place_minusinsk_okrug;2;Места;Адм. единицы
placeName;Енисейским;#place_enisei_okrug;2;Места;Насел. пункты
placeName;Канском округе;#place_kansk_okrug;2;Места;Адм. единицы
placeName;Канской;#place_kansk;2;Места;Насел. пункты
placeName;Красноярского округа;#place_krasnoyarsk_okrug;2;Места;Адм. единицы
placeName;Красноярском округе;#place_krasnoyarsk_okrug;2;Места;Адм. единицы
placeName;Красноярск;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Енисейск;#place_enisei_okrug;2;Места;Насел. пункты
placeName;Канск;#place_kansk;2;Места;Насел. пункты
placeName;Канский;#place_kansk;2;Места;Насел. пункты
placeName;Ачинск;#place_achinsk;2;Места;Насел. пункты
placeName;Ачинский;#place_achinsk;2;Места;Насел. пункты
placeName;Минусинск;#place_minusinsk;2;Места;Насел. пункты
placeName;Минусинский;#place_minusinsk;2;Места;Насел. пункты
placeName;Иркутскую;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Томскую;#place_tomsk_province;1;Места;Насел. пункты
placeName;Енисейская губерния;#place_enisei_province;1;Места;Адм. единицы
placeName;Иркутской губернии;#place_irkutsk_province;1;Места;Адм. единицы
placeName;Ачинском округе;#place_achinsk_okrug;1;Места;Адм. единицы
placeName;Каменский;#place_kamensky_plant;1;Места;Насел. пункты
placeName;Красноярскому округу;#place_krasnoyarsk_okrug;1;Места;Адм. единицы
placeName;Канскому округу;#place_kansk_okrug;1;Места;Адм. единицы
placeName;Ачинскому округу;#place_achinsk_okrug;1;Места;Адм. единицы
placeName;Енисейскою;#place_enisei_okrug;1;Места;Насел. пункты
placeName;Красноярских;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;г. Енисейска;#place_eniseysk;1;Места;Насел. пункты
placeName;Туруханске;#place_turukhansk;1;Места;Насел. пункты
placeName;Ачинской;#place_achinsk;1;Места;Насел. пункты
placeName;Минусинской;#place_minusinsk;1;Места;Насел. пункты
placeName;Енисейскую губернию;#place_enisei_province;1;Места;Адм. единицы
placeName;Шушенской;#place_шушенской;1;Места;Насел. пункты
placeName;Рыбинском;#place_rybinskoe;1;Места;Насел. пункты
placeName;Канского округа;#place_kansk_okrug;1;Места;Адм. единицы
placeName;г. Енисейск;#place_eniseysk;1;Места;Насел. пункты
placeName;Енисейском округе;#place_enisei_okrug;1;Места;Адм. единицы
placeName;Ачинского;#place_achinsk;1;Места;Насел. пункты
placeName;Красноярск;;1;Места;Насел. пункты
placeName;Енисейск;;1;Места;Насел. пункты
placeName;Канск;;1;Места;Насел. пункты
placeName;Ачинск;;1;Места;Насел. пункты
placeName;Минусинск;;1;Места;Насел. пункты
placeName;Туруханск;;1;Места;Насел. пункты
placeName;Енисейская губерния;;1;Места;Адм. единицы
placeName;Томская губерния;;1;Места;Адм. единицы
placeName;Иркутская губерния;;1;Места;Адм. единицы
placeName;Восточная Сибирь;;1;Места;Адм. единицы
placeName;Туруханский край;;1;Места;Адм. единицы
placeName;Енисейский округ;;1;Места;Адм. единицы
placeName;Красноярский округ;;1;Места;Адм. единицы
placeName;Канский округ;;1;Места;Адм. единицы
placeName;Ачинский округ;;1;Места;Адм. единицы
placeName;Минусинский округ;;1;Места;Адм. единицы
placeName;Енисей;;1;Места;Насел. пункты
placeName;Каменский завод;;1;Места;Насел. пункты
placeName;Рыбинское;;1;Места;Насел. пункты
placeName;Кежемской;;1;Места;Насел. пункты
placeName;Шушенской;;1;Места;Насел. пункты
